,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
69,1955,ROC,1454.0,3526.0,3.0186,0.0,0.0,0.0,1348.0,3629.2000000000003,2.6844,2.3484,1058.8,1588.8500000000001,0.0,0.0,2453.3,944.9,0.0,0.0,0.0,1295.25,4656.349999999999,266.0,True
70,1955,SYR,1398.6,3557.3,3.28275,0.0,0.0,0.0,1351.4,3849.0,2.8639,2.4755,1043.1,1567.8000000000002,0.0,0.0,2322.05,919.1,0.0,0.0,0.0,1163.95,4619.7,412.0,True
72,1956,BOS,1656.1,4003.0,2.8314,0.0,0.0,0.0,1563.4,4239.3,2.47615,2.0811,1336.6,1879.1,0.0,0.0,2645.2000000000003,1041.7,0.0,0.0,0.0,1329.15,5410.2,240.0,True
73,1956,FTW,1364.6,3438.7,4.0082,0.0,0.0,0.0,1331.4,3572.9,3.5491,3.0838,1203.0,1811.8000000000002,0.0,0.0,2254.4500000000003,938.6,0.0,0.0,0.0,1241.9,4794.2,352.0,True
74,1956,MNL,1560.4,3758.8,3.6474,0.0,0.0,0.0,1501.0,4074.5,3.3037,2.9824,1262.5,1747.5,0.0,0.0,2468.15,950.7,0.0,0.0,0.0,1383.8,5099.25,348.0,True
75,1956,NYK,1446.4,3663.5,3.793,0.0,0.0,0.0,1367.4,3685.7,3.41825,3.0713,1289.7,1891.95,0.0,0.0,2499.7000000000003,901.2,0.0,0.0,0.0,1351.7,5112.6,410.0,True
76,1956,PHW,1549.0,3715.8,2.8674,0.0,0.0,0.0,1455.6000000000001,3777.2000000000003,2.4726,2.2287,1296.0,1855.8,0.0,0.0,2376.65,1073.0,0.0,0.0,0.0,1279.55,5263.799999999999,366.0,True
77,1956,ROC,1639.5,4075.8,3.13295,0.0,0.0,0.0,1572.6,4525.5,2.75935,2.3741,1133.0,1754.5,0.0,0.0,2820.85,1004.1000000000001,0.0,0.0,0.0,1446.45,5040.099999999999,266.0,False
78,1956,STL,1578.4,3635.6,3.5103999999999997,0.0,0.0,0.0,1562.2,4258.2,3.08595,2.7218999999999998,1220.7,1933.9,0.0,0.0,2816.0,883.8000000000001,0.0,0.0,0.0,1392.45,4888.7,354.0,True
79,1956,SYR,1508.8,3755.3,2.53845,0.0,0.0,0.0,1441.2,4089.0,2.2071,1.9089,1218.7,1778.0500000000002,0.0,0.0,2371.6,954.3000000000001,0.0,0.0,0.0,1241.6,4947.15,308.0,True
